OBJECTID,GEOID,CNTY_FIPS,COUSUBFP,WARDID,WARD_FIPS,SUPERID,SUPER_FIPS,ALDERID,ALDER_FIPS,CNTY_NAME,MCD_NAME,MCD_FIPS,CONTACT,DATE_SUB,CTV,NOTES,SCHOOLID,DOA,DOR,DOT,FIPS6,FIPS5,FIPS_Place,Change,Date
1,5500100275,55001,00275, , , , , , ,ADAMS,Adams,5500100275,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,C, , ,1201,1201,1201,001005,275,5500100275, ,
2,5500100300,55001,00300, , , , , , ,ADAMS,ADAMS,5500100300,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1002,1002,1002,001010,300,5500100300, ,
3,5500107300,55001,07300, , , , , , ,ADAMS,BIG FLATS,5500107300,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1004,1004,1004,001015,7300,5500107300, ,
4,5500116075,55001,16075, , , , , , ,ADAMS,COLBURN,5500116075,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1006,1006,1006,001020,16075,5500116075, ,
5,5500119575,55001,19575, , , , , , ,ADAMS,DELL PRAIRIE,5500119575,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1008,1008,1008,001025,19575,5500119575, ,
6,5500122000,55001,22000, , , , , , ,ADAMS,EASTON,5500122000,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1010,1010,1010,001030,22000,5500122000, ,
7,5500127950,55001,27950, , , , , , ,ADAMS,Friendship,5500127950,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,V, , ,1126,1126,1126,001035,27950,5500127950, ,
8,5500137625,55001,37625, , , , , , ,ADAMS,JACKSON,5500137625,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1012,1012,1012,001040,37625,5500137625, ,
9,5500143425,55001,43425, , , , , , ,ADAMS,LEOLA,5500143425,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1014,1014,1014,001045,43425,5500143425, ,
10,5500144250,55001,44250, , , , , , ,ADAMS,LINCOLN,5500144250,afaust@ncwrpc.org,7/6/2016 1:02:14 PM,T, , ,1016,1016,1016,001050,44250,5500144250, ,
